﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1hYTBhNvpvyY4YKfKwh4p7","Lizard","Jeremy Enigk","Return of the Frog Queen","1","4","194333","spotify:user:mmccaff","2015-04-11T13:57:57Z"
"spotify:track:675qT5ZF2jBPFyge8uAFdn","Mind Idea","Jeremy Enigk","Ok Bear","1","1","157786","spotify:user:mmccaff","2015-04-11T13:58:49Z"
"spotify:track:6xyR151Qk4JNIJblRgmxaB","Burn","Jeremy Enigk","World Waits","1","10","305666","spotify:user:mmccaff","2015-04-11T13:59:06Z"
"spotify:track:43Yg78VUtlxOAiE15TYs16","Canons","Jeremy Enigk","World Waits","1","5","239146","spotify:user:mmccaff","2015-04-11T13:59:22Z"
"spotify:track:7AyMZNxRr12gEoCSjGug5v","Call Me Steam","Jeremy Enigk","Return of the Frog Queen","1","6","168706","spotify:user:mmccaff","2015-04-11T13:59:35Z"
"spotify:track:22F9d2IQzBTNhFdMPCFuqZ","Explain","Jeremy Enigk","Return of the Frog Queen","1","7","209000","spotify:user:mmccaff","2015-04-11T14:00:20Z"
"spotify:track:5fLYeWDKrVKolbI8SdD8nJ","World Waits","Jeremy Enigk","World Waits","1","9","274000","spotify:user:mmccaff","2015-04-11T14:00:32Z"
"spotify:track:6IxaYykwnwGDYEj5Xshm62","Every Shining Time You Arrive","Sunny Day Real Estate","How It Feels To Be Something On","1","3","253440","spotify:user:mmccaff","2015-04-11T14:00:50Z"
"spotify:track:4EkXHNNEyguODYVquulU8h","Friday","Sunny Day Real Estate","LP2","1","1","149840","spotify:user:mmccaff","2015-04-11T14:01:12Z"
"spotify:track:1MaHHonN9MEjDLkYAdS3gh","How It Feels To Be Something On","Sunny Day Real Estate","How It Feels To Be Something On","1","6","237400","spotify:user:mmccaff","2015-04-11T14:01:48Z"
"spotify:track:1GNlWTlpUex6NkSTBa1Vgl","Shade and the Black Hat","Jeremy Enigk","Return of the Frog Queen","1","8","298093","spotify:user:mmccaff","2015-04-11T14:02:21Z"
