﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4WAQc8xXKNinvCyV7SFt8D","Insomnia - Monster Mix","Faithless, Rollo Armstrong, Sister Bliss, Goetz","Forever Faithless - The Greatest Hits (C)","1","1","521973","spotify:user:","2011-07-29T15:54:02Z"
"spotify:track:18XnvWLy7QFko3MvJnuX5p","Mass Destruction - Single Version","Faithless","Forever Faithless - The Greatest Hits (C)","1","2","212800","spotify:user:","2011-07-29T15:54:02Z"
"spotify:track:1pUFYb9peWkK8m1WCKNRjp","God Is a DJ","Faithless","Forever Faithless - The Greatest Hits (C)","1","3","208506","spotify:user:","2011-07-29T15:54:02Z"
"spotify:track:715dWb9o0o2eJTKlE5yypH","Don't Leave","Faithless, Rollo Armstrong, Sister Bliss","Forever Faithless - The Greatest Hits (C)","1","4","240386","spotify:user:","2011-07-29T15:54:02Z"
"spotify:track:14sKGEQOBzJebYKa5XBBQA","Muhammad Ali - Radio Edit","Faithless","Forever Faithless - The Greatest Hits (C)","1","5","211213","spotify:user:","2011-07-29T15:54:02Z"
"spotify:track:2HV1YSl2FaDNujBrCi2dpv","We Come 1 - Radio Edit","Faithless","Forever Faithless - The Greatest Hits (C)","1","6","224626","spotify:user:","2011-07-29T15:54:02Z"
"spotify:track:7duCDHWW19LX0n8hX7H3tA","Reverence - Radio Edit","Faithless, Rollo Armstrong, Sister Bliss","Forever Faithless - The Greatest Hits (C)","1","7","225373","spotify:user:","2011-07-29T15:54:02Z"
"spotify:track:1XPuv5oKvbH3eQoyNW1iYK","Salva Mea","Faithless, Rollo Armstrong, Sister Bliss","Forever Faithless - The Greatest Hits (C)","1","8","647920","spotify:user:","2011-07-29T15:54:02Z"
"spotify:track:1dUViPlow48dfLOi8o65zd","One Step Too Far - Radio Edit","Faithless, Dido","Forever Faithless - The Greatest Hits (C)","1","9","205773","spotify:user:","2011-07-29T15:54:02Z"
"spotify:track:2xR8RV6wis6yaRjImh9hNc","Bring My Family Back","Faithless","Forever Faithless - The Greatest Hits (C)","1","10","246533","spotify:user:","2011-07-29T15:54:02Z"
"spotify:track:2X1zsG1osgirE9cpP2U0f7","Miss U Less, See U More - Single Mix","Faithless","Forever Faithless - The Greatest Hits (C)","1","11","214586","spotify:user:","2011-07-29T15:54:02Z"
"spotify:track:7c91MPYtJKGOAba7iPt5Tl","Tarantula","Faithless","Forever Faithless - The Greatest Hits (C)","1","12","399533","spotify:user:","2011-07-29T15:54:02Z"
"spotify:track:6J2aITkqKdWl3FKZdLPrr2","Fatty Boo","Faithless","Forever Faithless - The Greatest Hits (C)","1","13","358200","spotify:user:","2011-07-29T15:54:02Z"
"spotify:track:1AfBmUeu3EboQiIsJDRAS7","Reasons","Faithless","Forever Faithless - The Greatest Hits (C)","1","14","201280","spotify:user:","2011-07-29T15:54:02Z"
"spotify:track:4VIvdbzicSthVgQ6ybjaWh","Why Go?","Faithless, Estelle","Forever Faithless - The Greatest Hits (C)","1","15","204320","spotify:user:","2011-07-29T15:54:02Z"
