﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3hHR2o77hKJpTSbz4pHISc","Spanish Air","Slowdive","Just For A Day","1","1","362626","spotify:user:mmccaff","2019-05-23T14:31:49Z"
"spotify:track:58LwagSpbHNBrIr6kyb0cD","Celia's Dream","Slowdive","Just For A Day","1","2","249493","spotify:user:mmccaff","2019-05-23T14:31:49Z"
"spotify:track:4cz5bBa239LZ0Pt5DrJXYK","Catch The Breeze","Slowdive","Just For A Day","1","3","259453","spotify:user:mmccaff","2019-05-23T14:31:49Z"
"spotify:track:1nbZgajaqXmZQG24vl9u5d","Ballad Of Sister Sue","Slowdive","Just For A Day","1","4","271960","spotify:user:mmccaff","2019-05-23T14:31:49Z"
"spotify:track:0QwLXiZIF9wFkEGW9INVOe","Erik's Song","Slowdive","Just For A Day","1","5","265666","spotify:user:mmccaff","2019-05-23T14:31:49Z"
"spotify:track:0tEuudfO34gLfTTcUSOFlB","Waves","Slowdive","Just For A Day","1","6","351786","spotify:user:mmccaff","2019-05-23T14:31:49Z"
"spotify:track:4fEEDBLpvZJRLpshxJbYq1","Brighter","Slowdive","Just For A Day","1","7","229186","spotify:user:mmccaff","2019-05-23T14:31:49Z"
"spotify:track:6ktlz091RxLid9rd9MmB8n","The Sadman","Slowdive","Just For A Day","1","8","285146","spotify:user:mmccaff","2019-05-23T14:31:49Z"
"spotify:track:57cXmeqCiKUF0GpJDFVAkt","Primal","Slowdive","Just For A Day","1","9","331386","spotify:user:mmccaff","2019-05-23T14:31:49Z"
"spotify:track:7fgHvYrA6d92B3ClbjZinS","Slowdive","Slowdive","Just For A Day","2","1","317066","spotify:user:mmccaff","2019-05-23T14:31:49Z"
"spotify:track:7eA6LDdLF7Tnw8cBDxSu0Y","Avalyn I","Slowdive","Just For A Day","2","2","292093","spotify:user:mmccaff","2019-05-23T14:31:49Z"
"spotify:track:2Ue894AYFKuHXCXbosikTS","Avalyn II","Slowdive","Just For A Day","2","3","489573","spotify:user:mmccaff","2019-05-23T14:31:49Z"
"spotify:track:3elCikjYOJdgvPz2HGLPS1","Morningrise","Slowdive","Just For A Day","2","4","260506","spotify:user:mmccaff","2019-05-23T14:31:49Z"
"spotify:track:750pjeXwDf7GdgI0lI9L3E","She Calls","Slowdive","Just For A Day","2","5","338320","spotify:user:mmccaff","2019-05-23T14:31:49Z"
"spotify:track:5GP4YTk572o3sQMLrEzzOw","Losing Today","Slowdive","Just For A Day","2","6","301320","spotify:user:mmccaff","2019-05-23T14:31:49Z"
"spotify:track:0mzNvJpqrktOe5ToG1Lfzj","Golden Hair","Slowdive","Just For A Day","2","7","244146","spotify:user:mmccaff","2019-05-23T14:31:49Z"
"spotify:track:2oHgRdgkRKFovEzwKcPpoi","Shine","Slowdive","Just For A Day","2","8","323413","spotify:user:mmccaff","2019-05-23T14:31:49Z"
"spotify:track:2Y7CQCSxYGvvgj3EPjM0Lo","Albatros","Slowdrive","Just For A Day","2","9","318306","spotify:user:mmccaff","2019-05-23T14:31:49Z"
