﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6rkeaQRCWZxwkjhyqgxjXi","Mouth for War","Pantera","Vulgar Display of Power","1","1","237346","spotify:user:mmccaff","2019-05-15T21:12:49Z"
"spotify:track:5Tdx85q8KQIcIZJ9XoHblt","A New Level","Pantera","Vulgar Display of Power","1","2","237466","spotify:user:mmccaff","2019-05-15T21:12:49Z"
"spotify:track:7fcfNW0XxTWlwVlftzfDOR","Walk","Pantera","Vulgar Display of Power","1","3","315120","spotify:user:mmccaff","2019-05-15T21:12:49Z"
"spotify:track:5RU50TPTgtxJLFNunUS2p5","Fucking Hostile","Pantera","Vulgar Display of Power","1","4","168600","spotify:user:mmccaff","2019-05-15T21:12:49Z"
"spotify:track:0Yfpc5zHc9pElVCQ1bPlF4","This Love","Pantera","Vulgar Display of Power","1","5","393706","spotify:user:mmccaff","2019-05-15T21:12:49Z"
"spotify:track:1GgdgDHlEdmwbCZLLzV4Ik","Rise","Pantera","Vulgar Display of Power","1","6","276573","spotify:user:mmccaff","2019-05-15T21:12:49Z"
"spotify:track:5q272ZCgwndbAJJhGdG2mI","No Good (Attack the Radical)","Pantera","Vulgar Display of Power","1","7","289760","spotify:user:mmccaff","2019-05-15T21:12:49Z"
"spotify:track:5gUcLzosEDmiPLDpQUKqTP","Live in a Hole","Pantera","Vulgar Display of Power","1","8","300373","spotify:user:mmccaff","2019-05-15T21:12:49Z"
"spotify:track:0YgOMJldhmvg5mE2H2AbUA","Regular People (Conceit)","Pantera","Vulgar Display of Power","1","9","327533","spotify:user:mmccaff","2019-05-15T21:12:49Z"
"spotify:track:6Kl2BY1d8KHjOjY3cynftv","By Demons Be Driven","Pantera","Vulgar Display of Power","1","10","280333","spotify:user:mmccaff","2019-05-15T21:12:49Z"
"spotify:track:1lM1ZHTvfKi5CMRjsZ4Sg9","Hollow","Pantera","Vulgar Display of Power","1","11","345733","spotify:user:mmccaff","2019-05-15T21:12:49Z"
"spotify:track:25ZH79eefRHT8CUo15UFjo","Twist Of Cain","Danzig","Danzig","1","1","258360","spotify:user:mmccaff","2019-05-15T21:19:18Z"
"spotify:track:0SKCDIidMcl8w15h2PCSLd","Not Of This World","Danzig","Danzig","1","2","222106","spotify:user:mmccaff","2019-05-15T21:19:18Z"
"spotify:track:55zS77GXRmwsiyIqVkkT7O","She Rides","Danzig","Danzig","1","3","310986","spotify:user:mmccaff","2019-05-15T21:19:18Z"
"spotify:track:7gRwyXvNaXCNC9lZnDC38p","Soul On Fire","Danzig","Danzig","1","4","276986","spotify:user:mmccaff","2019-05-15T21:19:18Z"
"spotify:track:0kZpg64mTDk3V6jhGGEd7M","Am I Demon","Danzig","Danzig","1","5","297293","spotify:user:mmccaff","2019-05-15T21:19:18Z"
"spotify:track:7txxAtOMwLLnQTpKeBL6bp","Mother","Danzig","Danzig","1","6","204866","spotify:user:mmccaff","2019-05-15T21:19:18Z"
"spotify:track:4h9aHPj4VUQW7FdyzPjovK","Possession","Danzig","Danzig","1","7","236106","spotify:user:mmccaff","2019-05-15T21:19:18Z"
"spotify:track:6S0ui5AFgMmY1SIvTdl5XH","End Of Time","Danzig","Danzig","1","8","242866","spotify:user:mmccaff","2019-05-15T21:19:18Z"
"spotify:track:2ItDzQSDNn9DRYmL1hRTRM","The Hunter","Danzig","Danzig","1","9","211533","spotify:user:mmccaff","2019-05-15T21:19:18Z"
"spotify:track:3Wsg2Z3HOp5lq8vTGF36QB","Evil Thing","Danzig","Danzig","1","10","196026","spotify:user:mmccaff","2019-05-15T21:19:18Z"
"spotify:track:3TMGOy40dzOSbbyXNtHHZ7","Land of Sunshine","Faith No More","Angel Dust","1","1","224800","spotify:user:mmccaff","2019-05-15T21:19:38Z"
"spotify:track:4ARWqDQkQwWGiFXqa7zFA6","Caffeine","Faith No More","Angel Dust","1","2","268133","spotify:user:mmccaff","2019-05-15T21:19:38Z"
"spotify:track:62HyVeSK4fpxjKj6dsI5MP","Midlife Crisis","Faith No More","Angel Dust","1","3","259866","spotify:user:mmccaff","2019-05-15T21:19:38Z"
"spotify:track:2sZCBLHCnc6FQqDgoj3zER","RV","Faith No More","Angel Dust","1","4","223426","spotify:user:mmccaff","2019-05-15T21:19:38Z"
"spotify:track:67AlB4TEg72LkKHMj5l45h","Smaller and Smaller","Faith No More","Angel Dust","1","5","311133","spotify:user:mmccaff","2019-05-15T21:19:38Z"
"spotify:track:4b4dNdyRwc22RgHnHDCaWw","Everything's Ruined","Faith No More","Angel Dust","1","6","274106","spotify:user:mmccaff","2019-05-15T21:19:38Z"
"spotify:track:44pIeSQF2D6sj9XlZ6I41s","Malpractice","Faith No More","Angel Dust","1","7","242293","spotify:user:mmccaff","2019-05-15T21:19:38Z"
"spotify:track:2ykReEB3c9QPl40SUr8qwg","Kindergarten","Faith No More","Angel Dust","1","8","271040","spotify:user:mmccaff","2019-05-15T21:19:38Z"
"spotify:track:1D5IUaypUrzUaqFIFgQ1KH","Be Aggressive","Faith No More","Angel Dust","1","9","222440","spotify:user:mmccaff","2019-05-15T21:19:38Z"
"spotify:track:3ar0euR40jkPyLq9SxjMin","A Small Victory","Faith No More","Angel Dust","1","10","297133","spotify:user:mmccaff","2019-05-15T21:19:38Z"
"spotify:track:33uNtcCkiICPpD0Zl3g4r6","Crack Hitler","Faith No More","Angel Dust","1","11","279400","spotify:user:mmccaff","2019-05-15T21:19:38Z"
"spotify:track:2tBDqXLR0vb78suPz8qwHl","Jizzlobber","Faith No More","Angel Dust","1","12","398666","spotify:user:mmccaff","2019-05-15T21:19:38Z"
"spotify:track:5368hlZEw0wxNpNTpqiwPU","Midnight Cowboy (Theme From)","Faith No More","Angel Dust","1","13","252493","spotify:user:mmccaff","2019-05-15T21:19:38Z"
"spotify:track:4zzvMG8KrsykYtvFEJ99Cl","Easy","Faith No More","Angel Dust","1","14","186960","spotify:user:mmccaff","2019-05-15T21:19:38Z"
"spotify:track:3FMVOvkk9pEsfjhKlSm62p","Why Me","Skold, KMFDM","SKOLD vs. KMFDM","1","1","269746","spotify:user:mmccaff","2019-05-15T21:20:10Z"
"spotify:track:5WftZRyqVSUZVyAnChqgfU","Antigeist","Skold, KMFDM","SKOLD vs. KMFDM","1","2","314106","spotify:user:mmccaff","2019-05-15T21:20:10Z"
"spotify:track:6UzbCEoThoNe8Upe4sn3Us","Bloodsport","Skold, KMFDM","SKOLD vs. KMFDM","1","3","306626","spotify:user:mmccaff","2019-05-15T21:20:10Z"
"spotify:track:1mFtw7yBGvzBi5qmWIGWLm","Love Is Like","Skold, KMFDM","SKOLD vs. KMFDM","1","4","247666","spotify:user:mmccaff","2019-05-15T21:20:10Z"
"spotify:track:04Oa7mhW8dBifzusnlSrp6","It's Not What","Skold, KMFDM","SKOLD vs. KMFDM","1","5","254733","spotify:user:mmccaff","2019-05-15T21:20:10Z"
"spotify:track:2ljcEW9xxQshjCpMZSS8fy","A Common Enemy","Skold, KMFDM","SKOLD vs. KMFDM","1","6","299573","spotify:user:mmccaff","2019-05-15T21:20:10Z"
"spotify:track:5NQ8SdkLR1IkWYpZGMb4RE","Error 404","Skold, KMFDM","SKOLD vs. KMFDM","1","7","216906","spotify:user:mmccaff","2019-05-15T21:20:10Z"
"spotify:track:7bdOP12kQdbVAp9Tc2DmsN","Porn, Kitsch And Firearms","Skold, KMFDM","SKOLD vs. KMFDM","1","8","276333","spotify:user:mmccaff","2019-05-15T21:20:10Z"
"spotify:track:2W4PHkr5kwEKitRQtZUf1n","Gromky","Skold, KMFDM","SKOLD vs. KMFDM","1","9","317946","spotify:user:mmccaff","2019-05-15T21:20:10Z"
"spotify:track:5cLTc0BN87jepPzsAkm3W6","Alkohol","Skold, KMFDM","SKOLD vs. KMFDM","1","10","328240","spotify:user:mmccaff","2019-05-15T21:20:10Z"
"spotify:track:1Fa2lQSpCbnxEcKfZSUscD","All Or Nothing","Skold, KMFDM","SKOLD vs. KMFDM","1","11","303600","spotify:user:mmccaff","2019-05-15T21:20:10Z"
