Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6XDFFeinPXgy3auyC7huoC","Intro","M83","Hurry Up, We're Dreaming","1","1","322760","spotify:user:mmccaff","2015-12-31T21:05:42Z"
"spotify:track:1eyzqe2QqGZUmfcPZtrIyt","Midnight City","M83","Hurry Up, We're Dreaming","1","2","241440","spotify:user:mmccaff","2015-12-31T21:05:42Z"
"spotify:track:7zZkPiqHnL7icGGb4Almf6","Reunion","M83","Hurry Up, We're Dreaming","1","3","235374","spotify:user:mmccaff","2015-12-31T21:05:42Z"
"spotify:track:5cF3UVkFX8k9WZP4TyscYi","Where The Boats Go","M83","Hurry Up, We're Dreaming","1","4","106213","spotify:user:mmccaff","2015-12-31T21:05:42Z"
"spotify:track:3rTnGUeDrnZV22DvRuUuXr","Wait","M83","Hurry Up, We're Dreaming","1","5","343253","spotify:user:mmccaff","2015-12-31T21:05:42Z"
"spotify:track:0SeMmdPt7Ksu1fIAgnPIOG","Raconte-Moi Une Histoire","M83","Hurry Up, We're Dreaming","1","6","244093","spotify:user:mmccaff","2015-12-31T21:05:42Z"
"spotify:track:5ovJD4orq3aCbJnQHMwKmt","Train To Pluton","M83","Hurry Up, We're Dreaming","1","7","75586","spotify:user:mmccaff","2015-12-31T21:05:42Z"
"spotify:track:2OYMcth0dXHv5qcoli4HPv","Claudia Lewis","M83","Hurry Up, We're Dreaming","1","8","271720","spotify:user:mmccaff","2015-12-31T21:05:42Z"
"spotify:track:1oesncxikaS73FcSGECZep","This Bright Flash","M83","Hurry Up, We're Dreaming","1","9","141413","spotify:user:mmccaff","2015-12-31T21:05:42Z"
"spotify:track:0ILPnIuTZ2TJ8pbYxmOHzF","When Will You Come Home?","M83","Hurry Up, We're Dreaming","1","10","83600","spotify:user:mmccaff","2015-12-31T21:05:42Z"
"spotify:track:11GXRfMCSD2wdwgEXXEEc4","Soon, My Friend","M83","Hurry Up, We're Dreaming","1","11","189293","spotify:user:mmccaff","2015-12-31T21:05:42Z"
"spotify:track:1Fwj0wThn3kTg8D7KgWdsU","My Tears Are Becoming A Sea","M83","Hurry Up, We're Dreaming","2","1","151826","spotify:user:mmccaff","2015-12-31T21:05:42Z"
"spotify:track:6GdbwI8ytDROXDv1G7p34o","New Map","M83","Hurry Up, We're Dreaming","2","2","262746","spotify:user:mmccaff","2015-12-31T21:05:42Z"
"spotify:track:0xAOmpRlrqsr0afkC3NzVU","Ok Pal","M83","Hurry Up, We're Dreaming","2","3","238120","spotify:user:mmccaff","2015-12-31T21:05:42Z"
"spotify:track:1XVO06yjToSOSTTaL6YqV5","Another Wave From You","M83","Hurry Up, We're Dreaming","2","4","113773","spotify:user:mmccaff","2015-12-31T21:05:42Z"
"spotify:track:0NOQxyVgo8javoH9H4wvU7","Splendor","M83","Hurry Up, We're Dreaming","2","5","307586","spotify:user:mmccaff","2015-12-31T21:05:42Z"
"spotify:track:6QOfkcfdrEZ2nwi5R9KJTK","Year One, One Ufo","M83","Hurry Up, We're Dreaming","2","6","197693","spotify:user:mmccaff","2015-12-31T21:05:42Z"
"spotify:track:4S1TcxIV42zhABqofPxsvN","Fountains","M83","Hurry Up, We're Dreaming","2","7","81640","spotify:user:mmccaff","2015-12-31T21:05:42Z"
"spotify:track:5iXWkUMZYRZADokxXnniYt","Steve McQueen","M83","Hurry Up, We're Dreaming","2","8","228760","spotify:user:mmccaff","2015-12-31T21:05:42Z"
"spotify:track:5jWvCQXM7plS3T9FAAeBCR","Echoes Of Mine","M83","Hurry Up, We're Dreaming","2","9","219666","spotify:user:mmccaff","2015-12-31T21:05:42Z"
"spotify:track:4XeX53Xs0zZRLGwIm45aDf","Klaus I Love You","M83","Hurry Up, We're Dreaming","2","10","104533","spotify:user:mmccaff","2015-12-31T21:05:42Z"
"spotify:track:2QVmiA93GVhWNTWQctyY1K","Outro","M83","Hurry Up, We're Dreaming","2","11","247026","spotify:user:mmccaff","2015-12-31T21:05:42Z"
"spotify:track:6ZrlXT6mUMEgomN128iekU","Lisztomania","Phoenix","Wolfgang Amadeus Phoenix","1","1","241640","spotify:user:mmccaff","2015-12-31T21:06:36Z"
"spotify:track:5JtPGzRgrWxkXX9LoROq3d","1901","Phoenix","Wolfgang Amadeus Phoenix","1","2","193106","spotify:user:mmccaff","2015-12-31T21:06:36Z"
"spotify:track:61sSJHLos9i5TPwaqGNxCz","Fences","Phoenix","Wolfgang Amadeus Phoenix","1","3","224973","spotify:user:mmccaff","2015-12-31T21:06:36Z"
"spotify:track:14htesVyDv7fNIrW4McQ0X","Love Like a Sunset Part I","Phoenix","Wolfgang Amadeus Phoenix","1","4","338546","spotify:user:mmccaff","2015-12-31T21:06:36Z"
"spotify:track:474O0qw2zPc4k51oZc72iX","Love Like a Sunset Part II","Phoenix","Wolfgang Amadeus Phoenix","1","5","116720","spotify:user:mmccaff","2015-12-31T21:06:36Z"
"spotify:track:7GUVaGNiu11HXN2aqF6Rir","Lasso","Phoenix","Wolfgang Amadeus Phoenix","1","6","167840","spotify:user:mmccaff","2015-12-31T21:06:36Z"
"spotify:track:1jIvxe4pkZDvsyP9lfcwYX","Rome","Phoenix","Wolfgang Amadeus Phoenix","1","7","278080","spotify:user:mmccaff","2015-12-31T21:06:36Z"
"spotify:track:6Nhw01s7PmqAqCl0ca8Fwg","Countdown","Phoenix","Wolfgang Amadeus Phoenix","1","8","237093","spotify:user:mmccaff","2015-12-31T21:06:36Z"
"spotify:track:3XNXnjEct81xIRjtGPP3NJ","Girlfriend","Phoenix","Wolfgang Amadeus Phoenix","1","9","204106","spotify:user:mmccaff","2015-12-31T21:06:36Z"
"spotify:track:2BW8xmYgAXFOzULQRNxiNh","Armistice","Phoenix","Wolfgang Amadeus Phoenix","1","10","185106","spotify:user:mmccaff","2015-12-31T21:06:36Z"
"spotify:track:5cwN1htZyoWqZCc33f3RfE","The High Road","Broken Bells","Broken Bells","1","1","232200","spotify:user:mmccaff","2015-12-31T21:06:48Z"
"spotify:track:4EKKyep9jT8u5WpLC1qLrL","Vaporize","Broken Bells","Broken Bells","1","2","209200","spotify:user:mmccaff","2015-12-31T21:06:48Z"
"spotify:track:6BIzzDdmzpQujSTAAkuPtG","Your Head Is On Fire","Broken Bells","Broken Bells","1","3","182026","spotify:user:mmccaff","2015-12-31T21:06:48Z"
"spotify:track:32fmQsWSAaDas2MJRyMSGG","The Ghost Inside","Broken Bells","Broken Bells","1","4","198040","spotify:user:mmccaff","2015-12-31T21:06:48Z"
"spotify:track:1m2K0sPmwlktrmsqfSCsvb","Sailing to Nowhere","Broken Bells","Broken Bells","1","5","226066","spotify:user:mmccaff","2015-12-31T21:06:48Z"
"spotify:track:4WvfcU7QCkI49HjUQckTqA","Trap Doors","Broken Bells","Broken Bells","1","6","199160","spotify:user:mmccaff","2015-12-31T21:06:48Z"
"spotify:track:2OezgBTkkaMfwfCYCBzMip","Citizen","Broken Bells","Broken Bells","1","7","269293","spotify:user:mmccaff","2015-12-31T21:06:48Z"
"spotify:track:09zDgbs5NQH1kKFXHppYhr","October","Broken Bells","Broken Bells","1","8","218106","spotify:user:mmccaff","2015-12-31T21:06:48Z"
"spotify:track:6bfhBRsQyP5bIxoInk9wx0","Mongrel Heart","Broken Bells","Broken Bells","1","9","263693","spotify:user:mmccaff","2015-12-31T21:06:48Z"
"spotify:track:2ZgJ3fxDrGSi3VKe84YDAe","The Mall & Misery","Broken Bells","Broken Bells","1","10","246973","spotify:user:mmccaff","2015-12-31T21:06:48Z"
"spotify:track:01ESWLS95ZDUPPBY05DH0P","Everyday","Yo La Tengo","And Then Nothing Turned Itself Inside-Out","1","1","391933","spotify:user:mmccaff","2015-12-31T21:07:15Z"
"spotify:track:6Cp1LNb26iMtPT7JTtEZyD","Our Way to Fall","Yo La Tengo","And Then Nothing Turned Itself Inside-Out","1","2","258426","spotify:user:mmccaff","2015-12-31T21:07:15Z"
"spotify:track:1s5yDRzX5gcECe2T1y9fCe","Saturday","Yo La Tengo","And Then Nothing Turned Itself Inside-Out","1","3","258266","spotify:user:mmccaff","2015-12-31T21:07:15Z"
"spotify:track:6xEBQquRuqVrIcOm0uyYPA","Let's Save Tony Orlando's House","Yo La Tengo","And Then Nothing Turned Itself Inside-Out","1","4","299333","spotify:user:mmccaff","2015-12-31T21:07:15Z"
"spotify:track:3W7vMJcNjOPXpHcsUOtDVt","Last Days of Disco","Yo La Tengo","And Then Nothing Turned Itself Inside-Out","1","5","388066","spotify:user:mmccaff","2015-12-31T21:07:15Z"
"spotify:track:5xne48NPEBgonH7PD5Y9P1","The Crying of Lot G","Yo La Tengo","And Then Nothing Turned Itself Inside-Out","1","6","284933","spotify:user:mmccaff","2015-12-31T21:07:15Z"
"spotify:track:4GrfClvQgCVLsCfqw7YthQ","You Can Have It All","Yo La Tengo","And Then Nothing Turned Itself Inside-Out","1","7","276640","spotify:user:mmccaff","2015-12-31T21:07:15Z"
"spotify:track:3Jy2YYu8hChcsjAbL84O2f","Tears Are in Your Eyes","Yo La Tengo","And Then Nothing Turned Itself Inside-Out","1","8","275160","spotify:user:mmccaff","2015-12-31T21:07:15Z"
"spotify:track:3TYWPgtvkkD5xvzaWdhFUd","Cherry Chapstick","Yo La Tengo","And Then Nothing Turned Itself Inside-Out","1","9","371706","spotify:user:mmccaff","2015-12-31T21:07:15Z"
