﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5kcm6plz3qGgKaTmDnhQpO","Let's Never Stop Falling In Love","Pink Martini","Hang On Little Tomato","1","1","182986","","2011-07-28T17:24:21Z"
"spotify:track:2c2QhyYRfccwM6wKHO4DMN","Anna - El Negro Zumbon","Pink Martini","Hang On Little Tomato","1","2","156466","","2011-07-28T17:24:21Z"
"spotify:track:2Yp2mB1Glb26wCOoLkwQn6","Hang On Little Tomato","Pink Martini","Hang On Little Tomato","1","3","196893","","2011-07-28T17:24:21Z"
"spotify:track:5jPnBkrj2eP9D8VkXePY9X","The Gardens Of Sampson & Beasley","Pink Martini","Hang On Little Tomato","1","4","240546","","2011-07-28T17:24:21Z"
"spotify:track:0LKBBDT41ngtqHTHpctrZV","Veronique","Pink Martini","Hang On Little Tomato","1","5","199093","","2011-07-28T17:24:21Z"
"spotify:track:0czdYR0VHQ96QgFxR3GFoD","Dansez-vous","Pink Martini","Hang On Little Tomato","1","6","172613","","2011-07-28T17:24:21Z"
"spotify:track:3mFWrid5oBOGGMeLLGCbD4","Lilly","Pink Martini","Hang On Little Tomato","1","7","163840","","2011-07-28T17:24:21Z"
"spotify:track:6Ql1bm2kFWTW6aKaWboeLa","Autrefois","Pink Martini","Hang On Little Tomato","1","8","218360","","2011-07-28T17:24:21Z"
"spotify:track:02WwAKPt1GPaWlzjF4Jmtz","U Plavu Zoru","Pink Martini","Hang On Little Tomato","1","9","361346","","2011-07-28T17:24:21Z"
"spotify:track:0JuhgmtJmZGpNObCq8h7Pg","Clementine","Pink Martini","Hang On Little Tomato","1","10","230400","","2011-07-28T17:24:21Z"
"spotify:track:00sQ7ziu7spghqixgnHOkl","Una Notte A Napoli","Pink Martini","Hang On Little Tomato","1","11","285306","","2011-07-28T17:24:21Z"
"spotify:track:5MIZlZG2FM1Wm5wkXJFLOS","Kikuchiyo To Mohshimasu","Pink Martini","Hang On Little Tomato","1","12","272160","","2011-07-28T17:24:21Z"
"spotify:track:5rg78RILwcI7PXTO40lZbt","Aspettami","Pink Martini","Hang On Little Tomato","1","13","218480","","2011-07-28T17:24:21Z"
"spotify:track:2pdQmWIiP9fm38d9ZeXCCH","Song Of The Black Swan","Pink Martini","Hang On Little Tomato","1","14","130866","","2011-07-28T17:24:21Z"
"spotify:track:4VbDJMkAX3dWNBdn3KH6Wx","Helena Beat","Foster The People","Torches","1","1","276173","","2011-07-28T17:24:48Z"
"spotify:track:7w87IxuO7BDcJ3YUqCyMTT","Pumped up Kicks","Foster The People","Torches","1","2","239600","","2011-07-28T17:24:48Z"
"spotify:track:3u1Er1rkjn1oSz1xdZH3ZD","Call It What You Want","Foster The People","Torches","1","3","238786","","2011-07-28T17:24:48Z"
"spotify:track:4HRa9ZWcmZ8JD7UySPu0wT","Don't Stop (Color on the Walls)","Foster The People","Torches","1","4","174920","","2011-07-28T17:24:48Z"
"spotify:track:2UyWClHKt6fut3IpS2tJiR","Waste","Foster The People","Torches","1","5","205586","","2011-07-28T17:24:48Z"
"spotify:track:5fgb3Md1xjt3mxeBqguiIA","I Would Do Anything for You","Foster The People","Torches","1","6","214080","","2011-07-28T17:24:48Z"
"spotify:track:5Fli1xRi01bvCjsZvKWro0","Houdini","Foster The People","Torches","1","7","202466","","2011-07-28T17:24:48Z"
"spotify:track:2D1uFfnp5ylRPNYbdEa5Kv","Life on the Nickel","Foster The People","Torches","1","8","215306","","2011-07-28T17:24:48Z"
"spotify:track:2aCsRmHTuWPL7WnL5uSijc","Miss You","Foster The People","Torches","1","9","212893","","2011-07-28T17:24:48Z"
"spotify:track:0QOwak4SMvE1p2apLbDu8c","Warrant","Foster The People","Torches","1","10","323066","","2011-07-28T17:24:48Z"
"spotify:track:0OLyp6n6yMwIzzlubXDrsK","Abducted","Cults","Cults","1","1","172960","","2011-07-28T17:25:31Z"
"spotify:track:0VnLohgzwLEleLmo19Z8B0","Go Outside","Cults","Cults","1","2","204400","","2011-07-28T17:25:31Z"
