﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0gGfmw4csswZmFPj9YK8GW","7empest","TOOL","Fear Inoculum","1","9","943528","spotify:user:","2019-11-23T03:53:26Z"
"spotify:track:3TMGOy40dzOSbbyXNtHHZ7","Land of Sunshine","Faith No More","Angel Dust","1","1","224800","spotify:user:","2019-11-23T03:53:26Z"
"spotify:track:2sZCBLHCnc6FQqDgoj3zER","RV","Faith No More","Angel Dust","1","4","223426","spotify:user:","2019-11-23T03:53:26Z"
"spotify:track:62HyVeSK4fpxjKj6dsI5MP","Midlife Crisis","Faith No More","Angel Dust","1","3","259866","spotify:user:","2019-11-23T03:53:26Z"
"spotify:track:0MeLmeYrPVqFoMmYXQm5MS","Concrete Seconds","Pinback","Blue Screen Life","1","2","248306","spotify:user:","2019-11-23T03:53:26Z"
"spotify:track:4ARWqDQkQwWGiFXqa7zFA6","Caffeine","Faith No More","Angel Dust","1","2","268133","spotify:user:","2019-11-23T03:53:26Z"
"spotify:track:67AlB4TEg72LkKHMj5l45h","Smaller and Smaller","Faith No More","Angel Dust","1","5","311133","spotify:user:","2019-11-23T03:53:26Z"
"spotify:track:7xq98oPtH54v595yvAcfI5","Offline P.K.","Pinback","Blue Screen Life","1","1","197680","spotify:user:","2019-11-23T03:53:26Z"
"spotify:track:4b4dNdyRwc22RgHnHDCaWw","Everything's Ruined","Faith No More","Angel Dust","1","6","274106","spotify:user:","2019-11-23T03:53:26Z"
"spotify:track:7t2o6pch9yvjEhzysYTxO0","Boo","Pinback","Blue Screen Life","1","3","238640","spotify:user:","2019-11-23T03:53:26Z"
"spotify:track:6kOVoAgbeRtZBQLjheUb1u","Penelope","Pinback","Blue Screen Life","1","5","286680","spotify:user:","2019-11-23T03:53:26Z"
"spotify:track:5Tdx85q8KQIcIZJ9XoHblt","A New Level","Pantera","Vulgar Display of Power","1","2","237466","spotify:user:","2019-11-23T03:53:26Z"
"spotify:track:44pIeSQF2D6sj9XlZ6I41s","Malpractice","Faith No More","Angel Dust","1","7","242293","spotify:user:","2019-11-23T03:53:26Z"
"spotify:track:0yTOaSES61bYuVsI0sZHwf","Cry Wolf","Texas In July","Texas in July (Deluxe Edition)","1","2","197333","spotify:user:","2019-11-23T03:53:26Z"
"spotify:track:0BKkLEVKffABwkiZUyIcn8","BBTone","Pinback","Blue Screen Life","1","4","287946","spotify:user:","2019-11-23T03:53:26Z"
"spotify:track:6rkeaQRCWZxwkjhyqgxjXi","Mouth for War","Pantera","Vulgar Display of Power","1","1","237346","spotify:user:","2019-11-23T03:53:26Z"
"spotify:track:2tBDqXLR0vb78suPz8qwHl","Jizzlobber","Faith No More","Angel Dust","1","12","398666","spotify:user:","2019-11-23T03:53:26Z"
"spotify:track:2xKDKtJBLDPd7BF3VmSQQO","Invincible","TOOL","Fear Inoculum","1","4","764456","spotify:user:","2019-11-23T03:53:26Z"
"spotify:track:3RJgdE1l3TZIUCOJgOQxSM","Talby","Pinback","Blue Screen Life","1","6","241400","spotify:user:","2019-11-23T03:53:26Z"
"spotify:track:5RU50TPTgtxJLFNunUS2p5","Fucking Hostile","Pantera","Vulgar Display of Power","1","4","168600","spotify:user:","2019-11-23T03:53:26Z"
"spotify:track:0EEkWoQaHJCdMByfSOEFpb","Shallow Point","Texas In July","Texas in July (Deluxe Edition)","1","3","156013","spotify:user:","2019-11-23T03:53:26Z"
"spotify:track:2ykReEB3c9QPl40SUr8qwg","Kindergarten","Faith No More","Angel Dust","1","8","271040","spotify:user:","2019-11-23T03:53:26Z"
"spotify:track:19iOHms6HUilzE5SnXj04s","Prog","Pinback","Blue Screen Life","1","8","243400","spotify:user:","2019-11-23T03:53:26Z"
"spotify:track:1GgdgDHlEdmwbCZLLzV4Ik","Rise","Pantera","Vulgar Display of Power","1","6","276573","spotify:user:","2019-11-23T03:53:26Z"
"spotify:track:7t7eN5rfvfeH0ws7HtF6oa","Dr Strangeluv","Blonde Redhead","23 (Standard)","1","2","287160","spotify:user:","2019-11-23T03:53:26Z"
"spotify:track:4cz5bBa239LZ0Pt5DrJXYK","Catch The Breeze","Slowdive","Just For A Day","1","3","259453","spotify:user:","2019-11-23T03:53:26Z"
"spotify:track:0KIVKHQjaLSb7P9JqoIou3","Outbreak","Zomboy, Armanni Reign","The Outbreak","1","2","210857","spotify:user:","2019-11-23T03:53:26Z"
"spotify:track:7fcfNW0XxTWlwVlftzfDOR","Walk","Pantera","Vulgar Display of Power","1","3","315120","spotify:user:","2019-11-23T03:53:26Z"
"spotify:track:20jQoCkzrL9QIDpFQK2mId","X.I.Y.","Pinback","Blue Screen Life","1","7","212093","spotify:user:","2019-11-23T03:53:26Z"
"spotify:track:4hEziTzyhekkbBCZhoxvRW","Silently","Blonde Redhead","23 (Standard)","1","6","237226","spotify:user:","2019-11-23T03:53:26Z"
"spotify:track:3gygdYhguZM3lcIo69NKjE","Without a Head","Texas In July","Texas in July (Deluxe Edition)","1","4","232293","spotify:user:","2019-11-23T03:53:26Z"
"spotify:track:1nbZgajaqXmZQG24vl9u5d","Ballad Of Sister Sue","Slowdive","Just For A Day","1","4","271960","spotify:user:","2019-11-23T03:53:26Z"
"spotify:track:0Yfpc5zHc9pElVCQ1bPlF4","This Love","Pantera","Vulgar Display of Power","1","5","393706","spotify:user:","2019-11-23T03:53:26Z"
"spotify:track:0pLMcI2iUKSAIMVfVMI4Rj","SW","Blonde Redhead","23 (Standard)","1","4","275546","spotify:user:","2019-11-23T03:53:26Z"
"spotify:track:1hsUVMrjCtMJ5sLjNeiW8w","Your Sickness","Pinback","Blue Screen Life","1","9","289720","spotify:user:","2019-11-23T03:53:26Z"
"spotify:track:3ePOjDPsgtHGuGF7xxjF1k","Nuclear (Album Version)","Zomboy","The Outbreak","1","1","379310","spotify:user:","2019-11-23T03:53:26Z"
"spotify:track:3tj5523lMxVh6TjcAb1tdS","The Day You Died","Phantogram","Voices","1","5","229346","spotify:user:","2019-11-23T03:53:26Z"
